Rewards,Steps,Epsilon
-143.63082309177085,101,1.0
-365.07206080729753,70,0.9901
-159.9064147518052,91,0.9802
-69.79363536466583,93,0.9702999999999999
-132.32971810195173,69,0.9603999999999999
-338.9562147173633,100,0.9504999999999999
-324.00093933493724,102,0.9405999999999999
-82.59044205331628,86,0.9306999999999999
-88.87688981791722,79,0.9207999999999998
-228.36616269468126,143,0.9108999999999998
-75.61644456085813,59,0.9009999999999998
-114.8049577805811,76,0.8910999999999998
-59.09765675207612,76,0.8811999999999998
-92.26481892550449,102,0.8712999999999997
-110.77337203207479,138,0.8613999999999997
-167.59847976908128,153,0.8514999999999997
-133.47723090490547,111,0.8415999999999997
-92.77535699488469,67,0.8316999999999997
-229.93289901933167,92,0.8217999999999996
-318.56612030257565,178,0.8118999999999996
-207.22836315249378,123,0.8019999999999996
-5.866535563179525,85,0.7920999999999996
-126.29751297876291,110,0.7821999999999996
-88.54292962066428,94,0.7722999999999995
110.15646891618657,1000,0.7623999999999995
-88.09882738727012,121,0.7524999999999995
-133.16819977602302,127,0.7425999999999995
-72.32457850518725,97,0.7326999999999995
-62.87044879895564,61,0.7227999999999994
-167.635789205956,105,0.7128999999999994
-21.14546114494378,88,0.7029999999999994
-42.88810939167147,73,0.6930999999999994
-91.00704136819077,124,0.6831999999999994
23.83804292424807,148,0.6732999999999993
-65.3532698759968,89,0.6633999999999993
-20.148808532225075,185,0.6534999999999993
-38.782568954557235,124,0.6435999999999993
-37.498234393904966,143,0.6336999999999993
-96.26863908329993,118,0.6237999999999992
-83.45308840308651,73,0.6138999999999992
-139.75029843995702,161,0.6039999999999992
13.11083298158043,140,0.5940999999999992
-21.66646858287376,134,0.5841999999999992
-158.04047531039203,91,0.5742999999999991
-0.171824661319107,197,0.5643999999999991
-84.05671766158827,96,0.5544999999999991
-29.782277473317095,191,0.5445999999999991
-79.50144452612696,134,0.5346999999999991
-45.80876095234935,100,0.524799999999999
-14.709184130747872,183,0.514899999999999
18.583567956914237,147,0.504999999999999
-50.31406323982277,207,0.495099999999999
-27.9964767390301,162,0.48519999999999897
-176.23836349367062,613,0.47529999999999895
-202.63676391888748,162,0.4653999999999989
12.88733864619649,1000,0.4554999999999989
-88.04497458463867,768,0.4455999999999989
-51.02761720470454,214,0.43569999999999887
-59.04589116552169,282,0.42579999999999885
-14.324903194141484,312,0.4158999999999988
-141.72033623704445,830,0.4059999999999988
81.11157672678979,1000,0.3960999999999988
-141.07747768677802,168,0.38619999999999877
-12.564363359734557,303,0.37629999999999875
-82.78133783474006,446,0.3663999999999987
35.60768745624927,1000,0.3564999999999987
-17.74446197158194,480,0.3465999999999987
-20.926770469730045,217,0.33669999999999867
10.999438887221443,1000,0.32679999999999865
-72.15442463849976,169,0.3168999999999986
-13.779284120775998,1000,0.3069999999999986
-51.84904173943874,1000,0.2970999999999986
-11.161740741537843,1000,0.28719999999999857
-26.527941491787377,1000,0.27729999999999855
54.97331029013212,1000,0.2673999999999985
145.3846425978967,809,0.2574999999999985
10.02779449068261,1000,0.24759999999999852
-107.09409790062213,440,0.23769999999999852
-294.7669773366126,537,0.22779999999999853
-377.55126373079327,910,0.21789999999999854
210.3319024164163,567,0.20799999999999855
77.82024091939888,1000,0.19809999999999856
206.01065364347002,476,0.18819999999999856
-239.73623110218773,702,0.17829999999999857
76.90357349544308,1000,0.16839999999999858
182.75478831263035,416,0.1584999999999986
-158.48892152342935,534,0.1485999999999986
14.437593873322982,150,0.1386999999999986
137.80454958727293,824,0.1287999999999986
177.66127318789216,596,0.11889999999999862
227.0002565274498,583,0.10899999999999863
36.362199847130576,1000,0.09909999999999863
-54.215105882280376,704,0.08919999999999864
86.20373606812755,1000,0.07929999999999865
228.5201601685591,435,0.06939999999999866
101.5298012644845,1000,0.05949999999999866
97.65209916565598,1000,0.04959999999999866
55.886240196590016,1000,0.03969999999999866
58.09447550455322,1000,0.02979999999999866
89.82580528789155,1000,0.019899999999998662
49.96449826942425,1000,0.009999999999998663
59.11267628454642,1000,0.009899999999998675
244.9104303224464,372,0.00980099999999869
200.53298469779224,664,0.009702989999998702
126.8770905829762,780,0.009605960099998714
250.8511235260236,501,0.009509900498998728
12.945993540610154,1000,0.00941480149400874
192.29439745238165,512,0.009320653479068653
223.67930104046565,341,0.009227446944277967
9.664240441085862,1000,0.009135172474835187
233.82205666560014,354,0.009043820750086836
235.86124387729043,339,0.008953382542585967
260.0487677291709,282,0.008863848717160108
-50.69565288102036,1000,0.008775210229988506
-28.909465671903114,1000,0.00868745812768862
165.12584304701483,729,0.008600583546411734
205.54200577092257,616,0.008514577710947616
222.496302233425,275,0.00842943193383814
229.47196524897876,362,0.008345137614499759
-6.430987232271376,1000,0.008261686238354762
136.5509072560251,1000,0.008179069375971215
68.92506903353731,1000,0.008097278682211502
98.87337695849511,1000,0.008016305895389387
183.89531999510132,507,0.007936142836435494
208.66987329993586,400,0.00785678140807114
206.12324711218963,395,0.007778213593990428
191.45234527900968,937,0.0077004314580505235
165.19715468143525,583,0.007623427143470018
178.62038421688166,865,0.007547192872035318
204.11204347171238,777,0.0074717209433149655
195.62875546496318,532,0.007397003733881816
156.76949331565436,1000,0.007323033696542997
206.93051880486695,448,0.007249803359577567
207.4382768633084,403,0.007177305325981791
230.38507596077704,551,0.007105532272721973
143.01842686292926,588,0.0070344769499947534
282.47699614440444,360,0.006964132180494806
197.0840750775523,529,0.0068944908586898584
257.4776148322377,434,0.0068255459501029596
215.61103651456543,449,0.00675729049060193
216.1290244824579,306,0.006689717585695911
127.37322154027709,526,0.006622820409838952
209.1765538845691,429,0.006556592205740562
181.84608533890773,510,0.006491026283683156
242.47004753255155,349,0.006426116020846325
229.36145284013074,506,0.0063618548606378614
1.4586621119522931,333,0.006298236312031483
231.23299594066256,543,0.006235253948911168
192.52956480801947,497,0.006172901409422056
190.20143504316445,412,0.006111172395327835
199.96715566610777,441,0.006050060671374557
217.8611187289411,386,0.005989560064660811
-39.63295743733006,266,0.005929664464014203
233.40224222095497,470,0.005870367819374061
123.0915121026654,672,0.00581166414118032
219.92079786641614,473,0.005753547499768517
181.80829808691527,505,0.0056960120247708315
264.34907065351933,285,0.005639051904523123
199.74702358242243,512,0.005582661385477892
252.5544462208292,746,0.005526834771623113
248.09125956518753,282,0.005471566423906882
235.54824319874197,301,0.005416850759667813
190.256311667916,421,0.0053626822520711345
156.36642400052375,693,0.005309055429550423
267.34697252082196,678,0.005255964875254919
202.88935574607615,303,0.00520340522650237
192.67978615393554,272,0.005151371174237347
212.3630443423831,322,0.005099857462494973
201.384113921862,412,0.005048858887870023
241.22458822244627,407,0.004998370298991322
244.274811669898,338,0.004948386596001409
267.8524793671003,270,0.004898902730041395
297.8344785681643,302,0.004849913702740981
216.7346520646725,264,0.004801414565713571
211.8169776226755,240,0.0047534004200564355
189.27755147794008,371,0.004705866415855871
-211.44057369609487,353,0.004658807751697312
227.64849619653438,456,0.004612219674180339
280.8634534414999,239,0.004566097477438536
253.09822758480357,234,0.00452043650266415
207.77566814200733,258,0.004475232137637508
236.97637214775798,227,0.004430479816261133
237.95499820173865,217,0.004386175018098521
277.8960357222714,348,0.004342313267917536
267.3196671204534,236,0.00429889013523836
217.8576799091224,274,0.004255901233885977
259.24180690774085,249,0.004213342221547117
210.61703598655345,261,0.004171208799331645
247.4383552799004,260,0.004129496711338328
237.33416825627484,380,0.004088201744224945
232.77290800317445,328,0.004047319726782695
269.88662770709516,322,0.004006846529514868
258.87648980109554,224,0.00396677806421972
213.3196928369049,265,0.003927110283577523
255.22736179105203,623,0.0038878391807417477
242.8901833539807,273,0.00384896078893433
222.84892965009703,294,0.0038104711810449865
248.5965306626439,249,0.0037723664692345367
223.04603912549703,216,0.0037346428045421914
241.63755136973646,375,0.0036972963764967696
202.66079224585067,325,0.003660323412731802
248.92174499051288,330,0.003623720178604484
216.93663840477367,279,0.003587482976818439
211.00709961300475,236,0.0035516081470502547
197.46007058788405,338,0.0035160920655797523
255.3674907423382,512,0.003480931144923955
189.55307035887645,242,0.0034461218334747154
259.87797357910966,422,0.003411660615139968
235.21686011976402,241,0.0033775440089885683
245.82047367066588,311,0.0033437685688986825
